Speaker,Token,Pitch,Time,Sex,YOB,Tone
6,ma1,140,0.5,M,1966,1
6,ma1,138,0.75,M,1966,1
6,ma1,132,1,M,1966,1
6,ma2,125,0,M,1966,6
6,ma2,117,0.25,M,1966,6
6,ma2,114,0.5,M,1966,6
6,ma2,110,0.75,M,1966,6
6,ma2,106,1,M,1966,6
6,maj3,130,0,M,1966,2
6,maj3,133,0.25,M,1966,2
6,maj3,124,0.5,M,1966,2
6,maj3,108,0.75,M,1966,2
6,maj3,92,1,M,1966,2
6,maj4,150,0,M,1966,3
6,maj4,161,0.25,M,1966,3
6,maj4,170,0.5,M,1966,3
6,maj4,164,0.75,M,1966,3
6,maj4,146,1,M,1966,3
6,maj5,104,0,M,1966,4
6,maj5,109,0.25,M,1966,4
6,maj5,124,0.5,M,1966,4
6,maj5,130,0.75,M,1966,4
6,maj5,119,1,M,1966,4
6,maw6,130,0,M,1966,5
6,maw6,128,0.25,M,1966,5
6,maw6,127,0.5,M,1966,5
6,maw6,133,0.75,M,1966,5
6,maw6,141,1,M,1966,5
7,ma1,120,0,M,1956,1
7,ma1,118,0.25,M,1956,1
7,ma1,125,0.5,M,1956,1
7,ma1,133,0.75,M,1956,1
7,ma1,129,1,M,1956,1
7,ma2,103,0,M,1956,6
7,ma2,102,0.25,M,1956,6
7,ma2,99,0.5,M,1956,6
7,ma2,97,0.75,M,1956,6
7,ma2,94,1,M,1956,6
7,maj3,115,0,M,1956,2
7,maj3,102,0.25,M,1956,2
7,maj3,99,0.5,M,1956,2
7,maj3,96,0.75,M,1956,2
7,maj3,94,1,M,1956,2
7,maj4,127,0,M,1956,3
7,maj4,144,0.25,M,1956,3
7,maj4,148,0.5,M,1956,3
7,maj4,135,0.75,M,1956,3
7,maj4,115,1,M,1956,3
7,maj5,96,0,M,1956,4
7,maj5,101,0.25,M,1956,4
7,maj5,115,0.5,M,1956,4
7,maj5,116,0.75,M,1956,4
7,maj5,102,1,M,1956,4
7,maw6,95,0,M,1956,5
7,maw6,98,0.25,M,1956,5
7,maw6,105,0.5,M,1956,5
7,maw6,112,0.75,M,1956,5
7,maw6,117,1,M,1956,5
8,ma1,108,0,M,1959,1
8,ma1,111,0.25,M,1959,1
8,ma1,114,0.5,M,1959,1
8,ma1,112,0.75,M,1959,1
8,ma1,109,1,M,1959,1
8,ma2,113,0,M,1959,6
8,ma2,101,0.25,M,1959,6
8,ma2,100,0.5,M,1959,6
8,ma2,96,0.75,M,1959,6
8,ma2,90,1,M,1959,6
8,maj3,119,0,M,1959,2
8,maj3,117,0.25,M,1959,2
8,maj3,108,0.5,M,1959,2
8,maj3,101,0.75,M,1959,2
8,maj3,90,1,M,1959,2
8,maj4,130,0,M,1959,3
8,maj4,137,0.25,M,1959,3
8,maj4,152,0.5,M,1959,3
8,maj4,139,0.75,M,1959,3
8,maj4,113,1,M,1959,3
